Youtube 영상 제목
[IU's Palette] SEVENTEENIU are friends now (With SEVENTEEN) Ep.12
[IU TV] Welcome to your first dress fitting
"아이유(IU)의 킬링보이스를 라이브로! - 하루 끝, 너의 의미, 스물셋, 밤편지, 팔레트, 가을 아침, 삐삐, Blueming, 에잇, Coin, 라일락 ㅣ 딩고뮤직"
IU (아이유) PLAYLIST 2021 UPDATED | 아이유 노래 모음
[MV] IU(아이유) _ BBIBBI(삐삐)
IU Best Songs [Playlist for Motivation and Cheer Up]
[MV] IU(아이유)_LILAC(라일락)
IU Playlist 30 Songs (Korean Lyrics)
[MV] IU(아이유) _ Through the Night(밤편지)
[MV] IU(아이유) _ Blueming(블루밍)
"[IU] '내 손을 잡아(Hold My Hand)' Live Clip (2019 IU Tour Concert 'Love, poem')"
[MV] IU(아이유) _ Celebrity
[MMA 2021] IU - strawberry moon + Celebrity
[Playlist] IU (아이유) Best Songs 2021 - 아이유 최고의 노래모음 - IU 최고의 노래 컬렉션 - Celebrity
[IU] 'Love poem' Live Clip
아이유(IU) X 싸이(PSY) - 어땠을까♬(What Would Have Been) | 판타스틱 듀오2 (Fantastic Duo2) | SBS ENTER
[MV] IU(아이유) _ strawberry moon
IU (아이유) PLAYLIST 2022 UPDATED | 아이유 노래 모음
[MV] IU(아이유) _ Palette(팔레트) (Feat. G-DRAGON)
[MV] IU(아이유) _ eight(에잇) (Prod.&Feat. SUGA of BTS)
[MV] IU(아이유) _ Twenty-three(스물셋)
박재범 (Jay Park) - ‘GANADARA (Feat. 아이유 IU)’ Official Music Video
"[IU] Blueming Live Clip (2019 IU Tour Concert 'Love, poem')"
AKMU - '낙하 (NAKKA) (with IU)' OFFICIAL VIDEO
[IU] '겨울잠 (Winter Sleep)' Live Clip
[IU] 'eight' Acoustic Ver. Live Clip
[MV] IU(아이유)_Coin
"Eng,Taiwan/sub] IU,the female lead in the movie 'Broker'"
[MV] IU(아이유) _ Ending Scene(이런 엔딩)
IU (아이유) - Ending Scene (이런 엔딩) (Han|Rom|Eng) Color Coded Lyrics/한국어 가사
[MV] IU(아이유) _ Naui Yetnal Iyagi(나의 옛날이야기) : My old story
IU Celebrity Lyrics (아이유 Celebrity 가사) [Color Coded Lyrics/Han/Rom/Eng]
IU(아이유) _ YOU&I(너랑나) MV
IU(아이유) - Good Day(좋은 날) (Sketchbook) | KBS WORLD TV 200918
[IU] Rain Drop & Heart (마음) Concert Live Clip (@ 2017 Tour ‘Palette’)
My sea (아이와 나의 바다)
[Special Clip] IU(아이유)_Dear Name(이름에게)
IU (아이유) _ Good Day (좋은 날) _ MV
[IU's Palette] Did you block my number? (With Jay Park) Ep.11
HONEST REACTION to [IU CLIP] '사랑이 잘' LIVE with 오혁 (Can't Love You Anymore)
IU(아이유) - LILAC(라일락) @인기가요 inkigayo 20210328
[MV] IU(아이유) _ 어젯밤 이야기 [Eojetbam Iyagi] : Last night story
[Special Clip] IU(아이유)_Sleepless rainy night(잠 못 드는 밤 비는 내리고)
[Music Clip] IU(아이유) _ Neoui uimi(너의 의미) : Meaning of you (Feat. Kim Chang-Wan(김창완))
[MV] IU(아이유) _ Friday(금요일에 만나요) (Feat. Jang Yi-jeong(장이정) of HISTORY(히스토리))
IU's Palette with SEVENTEEN Reaction (SEVENTEEN HAS A NEW FAN!!)
"[IU TV] Today's birthday party, ""Jieun's 4 Cut"""
IU(아이유) _ YOU&I(너랑 나) (Performance ver.)
